Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,Season,seasonId,scatterId,scatterExtra
1,8ad2vcq9xcul0kkfms8qo0wk5,276111,A. Achinioti-Jönsson,Alexander Börje Achinioti-Jönsson,Central Defender,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,183434,Alexander Börje,Achinioti-Jönsson,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Defender,Forge,23,1848,25,2,3,0,1,1,0,0,0,6,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,1,80,32,1036,527,397,0.44,0,1,0.98,0,1,0,6,6,17,1,0,105,12,0,0,1261,64,17,18,39,105,66.0%,31,14,83,4,1,13,5,6,19,1,9,0,0,1,0,0,18,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,4,117,399,745,17,29.0%,89.2%,583,67,274,81,652,303,61.2%,49,0,0,0,63,63,36,6,0.07,0.37,0.07,0.37,0.44,5,9,0.06,7,-,-,35.6%,26,367,289,11,289,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:8ad2vcq9xcul0kkfms8qo0wk5,Canadian Premier League 2021 (Canada)
1,86tz9u1o9o5u0lbyycyd3df4l,34537,N. Ledgerwood,Nikolas Ledgerwood,Central Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,37057,Nikolas,Ledgerwood,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Cavalry,19,1318,36,2,10,0,4,1,3,4,4,4,1,3,0,0,1,1,0,1,0,0,0,0,0,1,2,6,123,30,540,188,199,0.96,1,0,2.24,0,2,15,3,18,7,0,0,72,2,2,0,772,82,14,24,14,58,58.5%,6,1,86,7,7,20,4,5,13,0,6,0,0,0,0,0,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,7,241,125,406,14,38.1%,71.7%,248,83,56,131,330,79,54.5%,22,0,0,61,25,25,24,9,0.69,0.26,0.69,0.26,0.96,18,3,0.06,16,0.44,0.29,40.6%,39,388,233,26,233,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:86tz9u1o9o5u0lbyycyd3df4l,Canadian Premier League 2021 (Canada)
1,9ddoyq4wpjjr58e8g8g5z3h7t,295844,S. Shome,Shamit Shome,Central Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,225062,Shamit,Shome,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Edmonton,25,2006,24,2,11,0,4,4,0,5,3,11,3,6,0,0,0,0,0,0,0,0,6,3,0,0,0,6,107,37,728,228,356,2.13,0,1,1.95,4,3,2,16,18,35,2,0,116,12,2,1,1034,128,20,32,21,86,56.5%,12,6,108,14,4,20,4,2,11,3,4,0,0,0,0,0,33,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,4,12,243,158,633,37,37.2%,80.2%,403,116,65,149,492,87,61.4%,57,0,0,12,33,33,44,9,1.26,0.87,1.26,0.87,2.13,17,7,0.09,23,0.17,0.17,33.4%,43,467,363,24,363,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:9ddoyq4wpjjr58e8g8g5z3h7t,Canadian Premier League 2021 (Canada)
1,dpee0p2qzqrzcefewdtey4vyt,37944,D. Fordyce,Daryl Fordyce,Central Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,31866,Daryl,Fordyce,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Valour,24,1706,34,4,9,0,4,2,2,2,1,4,2,0,0,0,2,0,1,0,0,0,1,0,0,0,1,5,141,47,1008,485,335,0.61,1,1,1,0,2,0,11,11,19,0,0,94,12,7,5,1231,77,12,26,19,78,66.7%,18,9,94,0,8,19,5,6,10,2,8,0,0,0,0,0,19,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,11,115,349,767,15,37.5%,81.3%,547,61,212,75,664,269,62.2%,37,0,0,6,35,35,38,5,0.13,0.48,0.13,0.48,0.61,10,8,0.06,11,0.33,0.33,29.9%,28,531,391,36,391,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:dpee0p2qzqrzcefewdtey4vyt,Canadian Premier League 2021 (Canada)
1,ewjp0ru1c4fn1h5bqyqdih0wl,168287,B. Fisk,Ben Fisk,Left Attacking Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,152275,Ben,Fisk,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Cavalry,15,929,28,4,7,0,3,3,0,3,8,6,4,2,0,0,0,0,1,0,1,0,0,0,0,1,1,8,54,15,291,66,156,2.71,1,4,2.29,5,4,2,13,15,29,2,1,39,13,2,2,497,59,6,9,3,22,46.9%,4,1,40,1,1,2,2,0,7,4,3,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,14,254,47,196,21,34.4%,76.3%,106,95,21,125,138,28,15.4%,13,0,1,51,8,8,11,3,2.67,0.04,2.67,0.04,2.71,11,1,0.14,20,0.2,0.13,41.6%,14,287,171,28,171,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:ewjp0ru1c4fn1h5bqyqdih0wl,Canadian Premier League 2021 (Canada)
1,ex7za2yvl9xrcdtr60ake2bit,223829,N. Ingham,Nathan Ingham,Goalkeeper,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,222921,Nathan,Ingham,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Goalkeeper,York United,19,1665,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,41,484,273,53,0,0,0,0.07,0,0,1,0,1,0,0,0,7,0,0,0,694,0,0,1,1,7,100.0%,5,1,29,0,0,0,0,2,0,0,5,7,0,1,4,4,22,20,2,0,69,6,4,25,32,9,2,54,49,20,12,26,2,16,13,0,0,0,43,0,0,0,692,2,0,63.8%,67.4%,1,0,325,0,2,482,100.0%,4,27.79,0,0,7,7,0,0,0,0,0,0,0,1,0,-,0,-,-,33.6%,0,398,440,1,440,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:ex7za2yvl9xrcdtr60ake2bit,Canadian Premier League 2021 (Canada)
1,79xw5l1zq2huxdmeod9t19nmd,166598,J. Escalante,José Escalante,Left Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,128665,José,Escalante,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Midfielder,Cavalry,22,1835,26,1,7,1,7,4,3,2,3,8,5,2,0,0,2,0,1,0,1,0,0,0,0,1,14,1,129,53,644,226,236,0.77,1,2,3.16,0,5,14,13,27,56,1,1,110,20,1,0,1185,109,14,25,17,75,60.9%,17,6,114,9,11,8,8,12,18,5,6,0,0,0,0,0,24,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,8,15,420,270,495,31,34.9%,71.7%,258,104,100,139,352,153,50.0%,26,0,0,129,45,45,22,8,0.47,0.3,0.47,0.3,0.77,25,1,0.04,20,0.28,0.21,40.0%,29,390,251,31,251,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:79xw5l1zq2huxdmeod9t19nmd,Canadian Premier League 2021 (Canada)
1,exgvhzo1zgo07og3rsnjv13v9,291386,C. Irving,Callum Irving,Goalkeeper,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,112996,Callum,Irving,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Goalkeeper,Pacific,24,2146,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,44,745,488,58,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,970,1,0,2,0,15,100.0%,13,4,34,0,1,0,0,2,0,0,7,6,0,1,18,18,27,23,4,0,64,0,3,31,21,6,1,58,42,22,10,19,3,23,11,0,1,0,31,0,0,0,967,3,0,47.5%,73.3%,0,0,546,0,1,744,87.5%,8,23.04,0,0,15,15,0,0,0,0,0,0,0,0,0,-,0,-,-,36.5%,0,426,309,5,309,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:exgvhzo1zgo07og3rsnjv13v9,Canadian Premier League 2021 (Canada)
1,3ot9v3kbxlf1il8eg7o4vg9ud,195040,D. Beckie,Drew Beckie,Left Centre Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,151932,Drew,Beckie,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Centre Back,Atlético Ottawa,17,1499,31,0,2,0,4,4,0,0,0,4,0,1,0,0,0,0,1,0,1,0,4,2,0,1,0,1,76,52,811,489,194,2.13,1,1,0.62,3,1,1,0,1,10,0,0,78,5,1,0,1059,51,11,21,22,112,78.0%,57,35,75,4,6,6,2,11,2,1,2,0,1,1,0,0,29,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,40,2,5,77,544,438,22,37.0%,84.2%,338,25,320,39,384,388,59.1%,44,0,1,8,98,98,14,0,0.07,2.05,0.07,2.05,2.13,0,11,0.27,8,0,0,27.4%,8,418,350,16,350,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:3ot9v3kbxlf1il8eg7o4vg9ud,Canadian Premier League 2021 (Canada)
1,6r8emgp7oeom6yyibdb4g77c9,273966,D. Choinière,David Choinière,Right Attacking Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,227780,David,Choinière,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Forge,19,997,24,7,11,1,6,5,1,9,1,2,1,1,0,0,0,0,2,0,2,0,0,0,0,2,1,7,45,7,310,43,215,1.32,2,1,1.38,1,2,0,10,10,58,9,2,56,21,0,0,557,75,8,10,3,25,56.3%,4,2,46,8,2,4,5,0,12,1,6,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,16,351,45,161,59,27.1%,83.2%,79,169,10,196,97,17,0.0%,1,0,0,20,9,9,7,9,1.23,0.09,1.23,0.09,1.32,9,1,0.07,18,0.15,0.15,34.8%,25,335,259,38,259,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:6r8emgp7oeom6yyibdb4g77c9,Canadian Premier League 2021 (Canada)
