Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,b84lif9t7gwlw9ou9izawvumt,33727,D. Edgar,David Edward Edgar,Right Centre Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,40345,David Edward,Edgar,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,Forge,1,90,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,28,10,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,46,0,0,3,0,13,100.0%,10,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,37,9,0,67.9%,67.9%,8,0,11,0,8,20,100.0%,4,0,0,0,13,13,0,0,0,0,0,0,0,0,0,-,0,-,-,33.3%,0,30,27,0,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
1,8ad2vcq9xcul0kkfms8qo0wk5,276111,A. Achinioti-Jönsson,Alexander Börje Achinioti-Jönsson,Defensive Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,183434,Alexander Börje,Achinioti-Jönsson,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Forge,1,90,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,28,8,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,47,7,0,1,2,8,33.3%,5,2,2,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,27,20,0,64.3%,53.6%,9,0,6,0,16,12,50.0%,6,0,0,0,7,7,1,0,0,0,0,0,0,0,1,-,0,-,-,33.3%,0,30,27,0,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
1,6r8emgp7oeom6yyibdb4g77c9,273966,D. Choinière,David Choinière,Left Attacking Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,227780,David,Choinière,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Forge,1,23,24,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,4,2,1,0.68,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,5,0,1,0,1,33.3%,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,2,2,50.0%,75.0%,1,1,1,1,2,1,-,0,0,1,0,1,1,0,0,0,0.68,0,0.68,0.68,0,0,0.68,1,-,-,33.3%,1,30,27,1,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
1,2zedqkn15thv6wx5xmgv48gd1,195042,K. Bekker,Kyle Edward Bekker,Defensive Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,140123,Kyle Edward,Bekker,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Forge,1,90,30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5,26,6,8,0.03,0,0,0.03,0,0,0,1,1,1,0,0,2,0,0,0,35,2,0,1,0,2,100.0%,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,11,17,0,46.2%,53.8%,9,4,1,4,14,8,100.0%,1,0,0,1,1,1,1,0,0.03,0,0.03,0,0.03,1,0,0.03,1,0,-,33.3%,0,30,27,1,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
1,c8gbyfp650fgai5782915ywa1,220073,E. Cissé,Elimane Oumar Cissé,Right Attacking Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,210185,Elimane Oumar,Cissé,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Forge,1,30,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,1,0.68,0,1,0,1,1,1,0,0,2,0,0,0,11,5,0,1,0,4,100.0%,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,1,40.0%,100.0%,3,2,0,2,3,0,33.3%,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,-,0,-,-,33.3%,0,30,27,2,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
1,6pi1u2mdt56ns3pqkdjp772s5,166454,C. Nanco,Christopher Lenroy Nanco,Left Attacking Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,245004,Christopher Lenroy,Nanco,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Forge,1,67,26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,2,0.02,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,25,6,1,1,1,3,50.0%,0,0,3,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,2,12,0,66.7%,33.3%,1,1,0,2,3,1,0.0%,1,0,0,0,0,0,2,1,0.02,0,0.02,0,0.02,0,0,0.02,1,-,-,33.3%,1,30,27,0,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
1,7ehcrcdv82ib5fkpo3498gpgp,257762,K. Awuah,Kwame Awuah,Left Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,244929,Kwame,Awuah,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Forge,1,90,25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,26,11,6,0.03,0,0,0,0,0,0,0,0,2,0,0,8,1,0,0,68,9,2,3,2,12,100.0%,3,2,6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,36,23,0,73.1%,65.4%,9,0,8,2,12,12,33.3%,6,0,0,0,10,10,2,0,0.03,0,0.03,0,0.03,0,0,0.03,1,-,-,33.3%,0,30,27,0,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
1,d3uo72swkorck8mo41kv1yp61,232298,D. Krutzen,Daniel Krutzen,Left Centre Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,423548,Daniel,Krutzen,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Centre Back,Forge,1,90,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,24,8,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,44,4,1,0,4,15,100.0%,10,4,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,34,7,0,79.2%,54.2%,3,1,9,2,7,15,33.3%,3,0,0,1,15,15,0,0,0,0,0,0,0,0,0,-,0,0,-,33.3%,0,30,27,0,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
1,upib1k4jf41nogwoduyqpw4p,306834,J. Grant,Jonathan Grant,Right Attacking Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,202589,Jonathan,Grant,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Forge,1,60,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,1,1,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,20,6,0,0,0,0,-,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,7,2,0,62.5%,25.0%,0,1,1,4,0,4,50.0%,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,33.3%,0,30,27,1,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
1,32fe58rlsvv1h3qthbhol08yy,765161,A. Novak,Anthony Joseph Novak,Centre Forward,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,481846,Anthony Joseph,Novak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Forge,1,86,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,2,6,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,26,12,0,0,0,1,-,1,1,3,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,9,2,15,2,33.3%,66.7%,6,2,0,3,9,0,41.7%,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-,0,-,-,33.3%,3,30,27,0,27,,CAV vs FOR,false,true,true,false,false,2019-11-02,7f2xl06opfb8koy1jdrzjd0fe,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2031832,CAV vs FOR (2019-11-02)
