Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,PassesIntoBox,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,null,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,6,5,1,0,2,6,3,3,0,0,1,0,2,0,2,0,1,2,0,2,2,7,61,26,358,166,105,1.13,2,1,0.94,1,1,2,7,9,23,5,2,61,10,0,0,566,50,4,16,9,47,62.5%,18,12,51,5,0,5,3,6,10,5,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,1,1,2,9,122,206,238,24,43.0%,75.7%,139,36,96,49,180,129,61.9%,21,1.89,1,18,33,33,14,0,0.92,0.21,0.92,0.21,1.13,8,6,0.08,14,0.17,0.17,40.4%,10.00,25,21,16,21,16,15377,,,FOR vs PAC,true,false,true,false,false,2020-08-22,7to1ns52wkgk9irtdbwzdn2ms,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Forge,Pacific,PAC,2,1,Played,W 2-1,2126242,FOR vs PAC (2020-08-22)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,5,4,1,0,1,5,0,2,0,0,1,0,2,0,1,0,5,0,0,2,1,4,58,19,393,188,128,2.91,2,1,1.58,4,2,3,4,7,17,1,0,63,10,1,0,589,61,6,17,5,45,67.6%,14,6,44,5,9,5,6,8,5,1,0,0,0,0,0,1,3,3,0,0,2,0,0,0,1,0,0,2,1,1,0,2,0,1,0,0,0,3,2,2,18,151,205,233,22,36.9%,80.4%,147,48,121,66,184,143,57.9%,19,1.76,1,22,28,28,9,8,0.63,2.28,0.63,2.28,2.91,6,1,0.26,11,0.32,0.23,42.5%,13.00,12,21,13,21,13,15377,,,YRK vs FOR,false,true,false,false,true,2020-08-26,7tyu476shfl4lg1dm54shvt3o,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Forge,York United,YRK,2,3,Played,L 2-3,2126246,YRK vs FOR (2020-08-26)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,4,4,0,0,3,6,3,3,0,0,2,0,2,0,1,1,0,1,1,0,5,4,60,20,381,157,144,3.89,2,2,3.66,6,6,3,7,10,30,2,2,63,18,0,0,586,47,3,13,12,52,66.7%,21,14,60,5,3,6,8,3,7,3,1,0,0,1,0,0,0,0,0,0,3,0,0,2,2,0,0,3,1,2,0,1,0,0,1,0,0,1,0,4,10,147,184,255,19,40.9%,79.0%,155,59,87,74,191,116,64.7%,17,0.19,2,15,37,37,14,1,2.82,1.07,2.82,1.07,3.89,8,1,0.30,13,0.27,0.11,48.6%,16.00,17,11,7,11,7,15377,,,ATO vs FOR,false,true,true,false,false,2020-08-30,7ufagyfpmg0q5miihyn7181ec,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Forge,Atlético Ottawa,ATO,2,0,Played,W 2-0,2126257,ATO vs FOR (2020-08-30)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,4,0,1,1,4,2,2,0,0,1,0,2,0,1,1,1,2,1,0,2,3,47,33,336,174,82,2.24,2,1,2.09,5,5,2,5,7,23,2,0,60,12,0,0,547,60,4,14,13,51,64.3%,19,7,42,4,6,8,7,6,3,6,0,2,0,0,0,1,2,2,0,0,6,1,0,3,3,0,0,5,3,3,0,3,0,2,0,0,0,1,4,0,13,141,237,169,15,37.5%,76.2%,97,39,120,51,124,161,66.7%,27,1.65,1,13,31,31,13,7,1.33,0.90,1.33,0.90,2.24,6,2,0.22,10,0.31,0.17,37.8%,16.00,21,13,15,13,15,15377,,,FOR vs VAL,true,false,false,true,false,2020-09-05,7utday42etwsaaqej3w9gmqz8,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Forge,Valour,VAL,2,2,Played,T 2-2,2126266,FOR vs VAL (2020-09-05)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,3,1,2,5,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,4,60,23,503,215,205,1.38,1,0,0.34,2,1,0,5,5,17,1,0,41,9,0,0,684,50,5,3,14,33,57.1%,11,7,47,7,3,7,5,4,3,1,0,0,1,1,0,1,1,0,1,1,2,1,0,0,1,0,0,1,2,0,0,2,0,1,0,0,0,2,0,4,9,177,229,278,15,37.0%,83.5%,199,75,146,95,232,176,51.9%,27,0.54,1,28,21,21,10,2,0.37,1.01,0.37,1.01,0.59,5,1,0.12,12,0.14,0.19,36.6%,22.00,15,13,15,13,15,15377,,,HFX vs FOR,false,true,false,true,false,2020-09-09,8plkm1srpcwr60o1i31ksltsk,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,1,1,Played,T 1-1,2137183,HFX vs FOR (2020-09-09)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,3,3,0,2,1,3,0,2,1,1,0,0,2,0,1,0,1,0,2,0,3,2,76,25,251,63,87,1.33,2,1,0.54,1,0,1,7,8,17,1,0,53,5,0,0,476,50,4,15,20,66,73.1%,25,12,61,6,5,7,5,6,7,2,1,2,0,0,1,1,0,0,0,1,3,0,0,1,3,0,0,3,3,0,1,1,0,0,0,0,0,2,1,6,9,159,197,120,25,51.4%,59.8%,41,50,59,72,78,101,57.9%,19,0.80,1,20,54,54,7,5,0.51,0.82,0.51,0.82,0.54,7,5,0.15,9,0.20,0.29,19.6%,12.00,22,23,16,23,16,15377,,,FOR vs PAC,true,false,true,false,false,2020-09-12,al6itp61bch64gv1bhhncxyqc,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Forge,Pacific,PAC,2,0,Played,W 2-0,2137184,FOR vs PAC (2020-09-12)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,1,1,0,2,0,6,1,5,0,0,0,0,1,0,1,0,0,0,0,1,4,3,82,44,346,98,122,1.41,1,1,1.27,3,3,2,5,7,16,2,1,69,11,0,0,549,75,11,4,19,57,75.0%,21,4,49,6,5,8,3,9,7,2,1,0,0,0,0,3,0,0,0,0,3,0,0,3,2,0,0,3,1,2,0,0,0,0,1,0,0,2,1,6,16,113,222,214,20,54.3%,63.6%,100,43,77,60,150,136,42.6%,61,1.07,1,9,45,45,10,2,1.30,0.11,1.30,0.11,1.41,6,2,0.16,9,0.22,0.00,17.9%,16.00,30,15,23,15,23,15377,,,CAV vs FOR,false,true,true,false,false,2020-09-15,dykc0lh8alwaa1f7yjoh09bf8,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2137186,CAV vs FOR (2020-09-15)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,5,4,1,2,1,3,1,1,0,0,2,1,1,1,0,1,0,1,1,0,3,3,76,20,293,78,119,1.50,2,1,1.28,1,1,2,5,7,19,2,2,54,10,0,0,511,51,6,13,18,58,63.3%,21,10,51,7,6,5,3,6,6,1,1,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,1,0,0,0,2,0,0,0,2,1,6,10,190,182,139,24,49.8%,67.2%,61,56,80,83,94,116,66.7%,21,0.66,1,25,33,33,17,8,0.50,1.00,0.50,1.00,1.50,6,3,0.14,11,0.08,0.08,40.4%,21.00,7,13,10,13,10,15377,,,FOR vs HFX,true,false,true,false,false,2020-09-19,5mrmbr6tngz69e9qmsn1b845w,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,2,0,Played,W 2-0,2137188,FOR vs HFX (2020-09-19)
1,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,6,4,2,1,2,7,2,3,1,1,2,0,2,0,1,0,2,0,0,2,6,5,46,23,391,145,177,1.98,2,0,0.67,2,0,2,10,12,17,1,1,58,9,0,0,595,36,4,11,17,44,75.0%,10,4,60,5,1,5,4,3,12,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,177,158,260,34,40.4%,82.4%,183,55,84,76,206,109,69.6%,23,1.35,2,36,31,31,11,2,1.01,0.96,1.01,0.96,1.19,12,1,0.12,16,0.31,0.26,40.9%,16.00,15,22,17,22,17,15382,,,YRK vs ATO,true,false,false,true,false,2020-08-15,7sxxjco5mob1kgt5i4e2mw00k,dn8tjhuq0bax4dgixqvluhzze,16614,16614,York United,Atlético Ottawa,ATO,2,2,Played,T 2-2,2126220,YRK vs ATO (2020-08-15)
1,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,2,1,1,1,1,5,1,1,0,0,1,0,1,0,1,0,2,0,1,0,3,2,49,21,338,162,106,0.72,1,0,0.51,1,1,3,2,5,13,1,0,37,3,0,0,530,44,4,5,19,62,64.3%,32,17,42,1,3,6,6,3,7,2,0,1,0,0,0,0,1,1,0,0,4,0,0,1,3,1,0,3,4,0,1,2,0,1,0,0,0,1,1,0,9,105,232,193,11,39.6%,79.3%,119,37,112,48,146,144,45.0%,20,1.56,0,10,53,53,6,3,0.16,0.56,0.16,0.56,0.72,5,2,0.08,9,0.10,0.00,35.5%,8.00,17,7,14,7,14,15382,,,PAC vs YRK,false,true,false,true,false,2020-08-19,7tas4i6lxq9imfed8t0627m6s,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,York United,Pacific,PAC,1,1,Played,T 1-1,2126232,PAC vs YRK (2020-08-19)
