Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
19,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,2,0,9,7,2,2,0,5,0,4,0,0,0,0,3,0,2,1,1,2,0,2,2,9,63,26,368,109,170,1.59,3,3,1.41,1,1,2,12,14,13,1,1,56,7,0,0,554,62,8,22,10,54,69.8%,14,9,69,3,4,11,0,3,7,0,0,0,0,0,4,0,3,3,0,0,2,0,0,1,2,1,0,1,2,0,0,1,0,0,0,0,0,2,1,2,8,146,183,225,31,43.5%,75.8%,139,69,71,79,171,118,31.0%,29,1.54,1,17,32,32,16,6,1.32,0.27,1.32,0.27,1.59,11,3,0.1,16,0.29,0.17,23.8%,13,24,19,19,19,6925,,EDM vs VAL,true,false,false,true,false,2021-11-06,bndu5q83nt71wwtuiabs10104,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Edmonton,Valour,VAL,3,3,Played,T 3-3,2227664,EDM vs VAL (2021-11-06)
19,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,5,1,4,5,3,4,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,7,41,11,288,101,135,1.58,0,0,0.69,1,0,2,12,14,28,1,0,53,11,0,0,479,61,9,15,9,41,60.0%,8,1,48,5,1,12,4,4,4,2,0,0,0,0,0,0,3,3,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,3,6,11,161,125,193,17,42.4%,81.9%,128,46,62,60,150,78,75.0%,8,1.53,0,22,21,21,13,7,0.62,0.96,0.62,0.96,0.79,14,0,0.09,17,0.23,0.19,35.4%,18,10,11,6,11,15382,,VAL vs YRK,false,true,false,false,true,2021-07-18,1kyqwhz3edy7fn93842fh4pas,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,York United,Valour,VAL,0,3,Played,L 0-3,2208296,VAL vs YRK (2021-07-18)
19,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,7,6,1,4,3,7,2,4,0,0,0,0,2,0,1,1,0,1,1,0,5,8,43,7,438,230,158,1.89,2,1,0.9,1,0,2,12,14,35,3,2,48,22,1,1,631,62,4,8,7,28,46.2%,9,6,43,3,3,7,5,2,1,0,0,0,0,0,0,1,2,2,0,0,4,0,0,4,2,0,0,4,3,1,0,0,0,2,0,0,0,4,3,8,8,175,190,266,39,32.2%,88.6%,201,52,135,67,226,145,24.0%,25,1.88,1,31,18,18,8,2,1.44,0.46,1.44,0.46,1.89,13,4,0.09,21,0.19,0.21,35.9%,8,9,11,29,11,15382,,YRK vs HFX,true,false,false,true,false,2021-10-03,bl6sp2hdap83y3c9wbykg2uc4,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,York United,HFX Wanderers,HFX,2,2,Played,T 2-2,2227637,YRK vs HFX (2021-10-03)
19,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,6,4,2,4,1,6,1,3,0,0,0,0,1,0,0,1,3,2,0,0,0,7,51,20,432,180,181,1.95,1,0,1.19,2,1,5,9,14,32,5,2,63,17,1,1,667,53,9,11,14,48,66.7%,14,6,56,5,2,5,2,4,10,2,0,0,0,1,0,0,1,1,0,0,3,0,0,0,2,1,0,2,3,0,1,2,0,0,0,0,0,4,2,2,10,188,192,287,38,37.5%,83.6%,197,59,105,83,229,120,58.8%,17,1.46,1,31,31,31,15,2,0.89,1.06,0.89,1.06,1.95,14,5,0.11,17,0.26,0.23,39.0%,16,14,16,25,16,15382,,YRK vs ATO,true,false,false,true,false,2021-10-08,blmjamfu1be66zvm0q6ylcil0,dn8tjhuq0bax4dgixqvluhzze,16614,16614,York United,Atlético Ottawa,ATO,1,1,Played,T 1-1,2227642,YRK vs ATO (2021-10-08)
19,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,7,4,3,0,2,8,2,6,0,0,0,0,1,0,0,0,3,0,1,0,7,5,42,8,613,239,324,2.61,1,1,2.1,4,3,4,10,14,24,4,2,51,16,0,0,785,48,12,11,8,39,62.2%,7,2,47,5,3,4,3,2,3,2,0,1,0,0,1,1,1,1,0,0,3,0,0,0,1,1,0,2,3,0,1,2,0,1,0,0,1,2,5,0,6,263,203,319,37,27.1%,91.8%,270,161,132,188,286,139,33.3%,12,2.51,1,24,28,28,8,3,1.64,0.97,1.64,0.97,2.61,13,2,0.15,17,0.21,0.21,36.4%,10,15,11,41,11,15376,,YRK vs HFX,false,true,false,true,false,2021-08-25,bifj6qdoi8yfg9elkwof5yfx0,cqthcpums3aas2tdy0qhlkuwa,15382,15382,HFX Wanderers,York United,YRK,1,1,Played,T 1-1,2227601,YRK vs HFX (2021-08-25)
19,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,6,2,4,1,4,8,3,2,0,0,0,0,1,1,2,1,2,1,0,1,3,8,46,8,492,215,223,1.84,2,2,1.66,2,2,4,10,14,18,4,0,39,7,0,0,662,48,8,5,15,37,50.0%,8,5,39,5,4,3,5,3,4,1,0,0,0,0,1,0,1,1,0,0,3,0,0,2,1,0,0,3,2,1,0,1,0,2,0,0,1,3,1,4,6,189,154,319,24,32.9%,89.0%,253,80,105,95,285,112,43.8%,16,0.82,1,20,18,18,14,5,1.25,0.59,1.25,0.59,1.84,12,2,0.1,19,0.2,0.14,27.3%,14,7,7,21,7,15380,,PAC vs VAL,true,false,true,false,false,2021-08-05,bhbo0sqworea93tmd9dezqb6c,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Pacific,Valour,VAL,2,1,Played,W 2-1,2227580,PAC vs VAL (2021-08-05)
19,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,9,7,2,2,1,6,4,2,0,0,0,0,1,0,1,0,0,0,0,1,5,10,53,25,390,170,142,1.77,1,1,1.44,2,2,2,12,14,26,2,2,58,16,1,0,596,50,10,12,11,42,68.8%,9,3,55,3,2,5,2,9,5,3,0,0,1,0,1,0,2,2,0,0,3,0,0,1,1,0,0,3,3,0,1,1,0,2,0,0,0,2,4,4,7,134,216,246,22,40.8%,80.0%,148,54,110,66,175,149,23.8%,21,2.31,0,16,25,25,13,4,1.65,0.12,1.65,0.12,1.77,13,3,0.1,18,0.25,0.22,25.0%,11,24,15,14,15,15378,,YRK vs VAL,false,true,false,false,true,2021-09-26,bkvj7w12bpzuibxw3rioaledw,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Valour,York United,YRK,1,2,Played,L 1-2,2227633,YRK vs VAL (2021-09-26)
28,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,5,2,3,1,4,7,3,3,0,0,0,0,0,1,1,0,2,1,0,1,1,8,45,17,399,171,166,0.95,1,1,0.79,1,1,1,12,13,21,3,1,43,9,0,0,582,50,4,8,10,31,57.1%,8,7,46,2,1,9,2,1,3,3,0,0,0,0,0,1,2,2,0,0,4,0,0,0,3,1,0,3,2,2,0,4,1,0,0,0,0,1,2,2,8,145,144,293,25,36.3%,84.5%,198,52,87,64,236,99,61.5%,26,1.53,0,23,15,15,13,3,0.86,0.09,0.86,0.09,0.95,12,4,0.06,17,0.26,0.21,31.0%,17,11,17,10,17,6925,,HFX vs EDM,false,true,false,false,true,2021-07-10,19owlil0qx3o2d0k3bkf1g7bo,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Edmonton,HFX Wanderers,HFX,1,2,Played,L 1-2,2208285,HFX vs EDM (2021-07-10)
28,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,7,4,3,3,2,6,5,1,1,0,0,0,2,0,1,0,0,0,0,2,6,7,44,27,290,134,85,2.23,2,1,0.52,2,0,3,10,13,15,0,0,47,6,0,0,507,59,12,10,10,58,59.5%,26,9,52,3,2,8,4,6,2,3,1,0,0,0,1,0,0,0,0,1,7,0,0,3,2,0,1,7,3,4,2,1,1,2,2,0,0,3,0,0,10,106,212,189,19,42.1%,75.5%,117,29,73,40,136,114,35.0%,20,1.02,1,16,42,42,13,3,0.35,1.88,0.35,1.88,1.44,12,3,0.12,18,0.13,0.11,21.4%,14,32,33,10,33,15382,,FOR vs YRK,false,true,true,false,false,2021-09-11,bjpdudgxka2r49yjg9ncbojys,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,York United,Forge,FOR,2,0,Played,W 2-0,2227618,FOR vs YRK (2021-09-11)
28,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,1,0,1,3,2,11,4,4,0,0,1,0,0,0,0,0,3,0,0,0,2,7,60,14,434,218,142,1.25,0,0,1.04,1,1,3,10,13,19,1,0,53,12,0,0,605,53,5,8,8,31,46.4%,10,5,51,1,3,9,3,3,8,0,1,1,0,0,0,0,0,0,0,0,6,0,2,2,4,0,0,6,4,2,0,2,0,1,1,0,0,1,0,6,11,130,227,248,25,35.5%,82.9%,163,46,151,56,203,175,58.3%,24,0.66,0,15,21,21,10,0,0.57,0.68,0.57,0.68,1.25,13,0,0.07,17,0.33,0.33,22.9%,15,11,14,15,14,15382,,YRK vs HFX,true,false,false,true,false,2021-09-18,bk4rxdq85q9prkfa6ugzf3eac,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,York United,HFX Wanderers,HFX,0,0,Played,T 0-0,2227624,YRK vs HFX (2021-09-18)
28,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,5,3,2,1,2,6,1,4,0,0,0,0,1,0,1,0,1,1,1,0,3,6,52,20,366,172,122,1.19,1,1,1.15,1,1,1,12,13,22,1,1,49,9,0,0,539,53,4,13,9,36,65.4%,10,3,59,7,0,7,2,6,7,1,0,0,0,0,0,0,2,2,0,0,3,1,0,0,0,1,0,1,3,0,1,2,0,1,1,0,0,2,2,4,12,115,205,219,21,37.7%,80.3%,137,41,116,50,169,147,53.3%,15,1.64,0,15,22,22,11,3,1.04,0.15,1.04,0.15,1.19,12,1,0.08,14,0.4,0.4,13.2%,16,20,17,12,17,15382,,YRK vs FOR,true,false,false,false,true,2021-11-06,bn7sz04o1rilw5zz5t6bpr7ys,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,York United,Forge,FOR,1,2,Played,L 1-2,2227662,YRK vs FOR (2021-11-06)
28,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,12,8,4,2,0,6,4,2,0,0,1,0,1,0,1,0,0,1,0,1,4,13,44,20,338,144,130,2.23,1,0,1.54,4,3,1,12,13,17,3,1,38,6,1,1,508,54,6,12,17,46,58.1%,10,5,51,4,2,9,1,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,9,120,174,214,26,38.5%,81.1%,133,44,97,56,159,123,16.7%,12,0.32,0,13,27,27,15,4,1.61,0.62,1.61,0.62,2.23,13,2,0.11,20,0.23,0.14,17.1%,9,14,15,16,15,15376,,HFX vs VAL,true,false,true,false,false,2021-07-24,1l8kbfhi6hqa0m0sts8brsftg,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,HFX Wanderers,Valour,VAL,1,0,Played,W 1-0,2208300,HFX vs VAL (2021-07-24)
28,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,3,3,0,4,0,7,3,2,0,0,0,0,0,0,0,0,2,0,0,0,1,6,44,43,390,172,131,1.19,0,0,1.11,1,1,5,8,13,27,1,1,51,9,1,1,596,56,5,8,3,41,52.0%,24,11,46,3,3,7,2,3,6,0,1,1,0,0,0,0,0,0,0,0,6,1,0,4,3,0,0,5,2,4,0,2,0,3,0,0,0,2,2,2,4,106,256,234,19,40.5%,77.7%,151,41,111,51,181,158,64.3%,28,1.74,0,14,33,33,8,0,0.7,0.5,0.7,0.5,1.19,13,10,0.09,14,0.29,0.38,24.2%,8,34,24,5,24,15378,,VAL vs CAV,true,false,false,true,false,2021-10-06,blcjrbffi20vxpl5ow2lluvx0,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Valour,Cavalry,CAV,0,0,Played,T 0-0,2227639,VAL vs CAV (2021-10-06)
28,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,5,4,1,3,0,8,2,3,0,0,1,0,2,0,1,0,6,0,1,1,3,4,67,15,604,261,261,2.13,2,1,1.77,3,3,4,9,13,23,8,3,46,12,1,1,769,37,0,9,7,22,75.0%,6,5,54,3,1,5,2,3,9,7,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,3,223,170,376,50,30.3%,86.4%,296,101,125,130,334,140,42.3%,26,1.25,0,25,12,12,8,2,1.68,0.45,1.68,0.45,2.13,12,2,0.13,16,0.4,0.4,52.0%,16,6,8,34,8,15381,,CAV vs EDM,true,false,false,true,false,2021-08-29,birwno3cct8yrcw99y5kq855g,73xrv2025rnj0t3y9ayp83bec,6925,6925,Cavalry,Edmonton,EDM,2,2,Played,T 2-2,2227606,CAV vs EDM (2021-08-29)
35,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,2,0,7,5,2,3,1,6,3,3,0,0,0,0,0,0,0,0,2,1,0,0,3,7,80,35,391,108,168,1.6,0,0,1.22,2,1,2,10,12,20,6,1,61,11,1,0,566,57,8,20,8,43,68.3%,5,0,66,3,1,7,0,2,8,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,2,2,0,1,1,0,0,0,0,0,1,1,0,8,158,150,258,23,38.9%,70.6%,134,73,69,87,193,111,41.9%,31,0.76,0,15,17,17,20,6,1.48,0.12,1.48,0.12,1.6,12,2,0.09,17,0.27,0.18,32.6%,21,25,7,16,7,6925,,EDM vs CAV,true,false,false,false,true,2021-09-02,bj0fksdyvqllnl5s5h8ibc1lg,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,0,1,Played,L 0-1,2227609,EDM vs CAV (2021-09-02)
35,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,9,8,1,1,1,3,1,0,0,0,1,0,3,0,2,0,2,1,1,1,5,3,48,9,455,133,265,1.31,3,3,1.2,1,1,3,9,12,29,3,1,44,17,1,1,658,44,3,4,10,38,58.3%,18,10,51,4,1,7,2,4,6,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,2,0,0,1,1,0,1,0,0,1,0,6,16,228,153,277,35,33.4%,87.5%,206,120,72,145,223,87,66.7%,12,0.3,1,16,27,27,8,3,0.88,0.43,0.88,0.43,1.31,9,2,0.09,14,0.5,0.58,50.0%,21,16,8,25,8,15377,,ATO vs FOR,false,true,true,false,false,2021-10-03,bl9qng6gh3bozm041je4s9st0,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Forge,Atlético Ottawa,ATO,3,0,Played,W 3-0,2227638,ATO vs FOR (2021-10-03)
35,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,2,2,0,3,0,8,6,2,0,0,0,0,1,0,0,1,0,1,0,0,0,9,52,13,527,221,241,0.99,1,1,0.92,1,1,3,9,12,23,1,0,52,13,3,1,728,58,8,12,10,37,48.8%,6,2,61,4,1,8,1,2,5,3,0,0,0,0,1,0,1,0,1,0,6,1,0,1,1,4,0,1,5,1,1,4,0,1,2,0,0,2,4,6,17,184,158,386,27,33.0%,87.7%,289,79,94,93,327,107,78.6%,14,2.92,1,26,21,21,12,4,0.51,0.47,0.51,0.47,0.99,11,2,0.08,13,0.12,0.16,30.4%,17,16,15,10,15,15382,,ATO vs YRK,false,true,false,true,false,2021-10-24,bmr15sxmx3xw1opiyac1pcv84,dn8tjhuq0bax4dgixqvluhzze,16614,16614,York United,Atlético Ottawa,ATO,1,1,Played,T 1-1,2227657,ATO vs YRK (2021-10-24)
35,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,6,4,2,1,3,5,1,3,0,0,0,0,2,0,2,0,1,0,0,2,5,5,56,13,413,227,117,1.53,2,2,1.45,2,2,1,11,12,17,0,0,50,9,0,0,581,43,10,9,6,44,67.9%,17,12,53,1,2,3,1,2,9,2,0,2,0,0,0,2,1,0,1,0,3,0,1,2,1,0,0,3,1,2,0,0,1,1,0,0,0,2,1,4,6,97,223,261,17,33.4%,83.3%,175,36,133,51,204,158,38.5%,26,0.95,1,14,31,31,12,1,0.72,0.82,0.72,0.82,1.53,10,6,0.1,15,0.14,0.17,26.7%,8,20,10,17,10,15376,,HFX vs EDM,true,false,true,false,false,2021-07-10,19owlil0qx3o2d0k3bkf1g7bo,73xrv2025rnj0t3y9ayp83bec,6925,6925,HFX Wanderers,Edmonton,EDM,2,1,Played,W 2-1,2208285,HFX vs EDM (2021-07-10)
35,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,7,4,3,1,3,3,3,0,0,0,0,0,1,0,1,0,0,1,0,1,1,8,59,24,480,261,136,1.18,1,0,0.93,2,1,0,12,12,25,2,0,51,15,2,1,673,52,4,14,9,47,75.0%,20,10,62,2,5,6,0,3,7,2,1,0,0,0,0,1,0,0,0,0,3,0,1,1,1,0,0,3,1,2,0,1,0,2,0,0,0,4,0,8,9,112,231,330,17,35.8%,82.7%,227,44,126,53,268,159,29.6%,27,0.83,1,6,32,32,14,1,1.15,0.03,1.15,0.03,1.18,12,7,0.08,14,0.33,0.33,35.0%,15,27,11,16,11,15376,,HFX vs EDM,true,false,true,false,false,2021-09-25,bkml8n1v38rh9pon9u6g0hrmc,73xrv2025rnj0t3y9ayp83bec,6925,6925,HFX Wanderers,Edmonton,EDM,1,0,Played,W 1-0,2227630,HFX vs EDM (2021-09-25)
35,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,10,6,4,3,1,4,0,2,0,0,1,0,1,0,1,0,2,0,0,1,3,9,61,16,519,211,231,2.68,1,1,2.35,4,4,2,10,12,16,1,1,55,10,2,0,708,48,8,13,11,44,70.0%,12,10,64,5,7,5,2,2,7,3,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,2,1,1,1,0,0,1,0,0,0,5,1,2,10,162,180,366,32,30.4%,85.2%,270,65,107,88,308,123,61.9%,21,0.89,1,22,28,28,13,3,2.29,0.4,2.29,0.4,2.68,11,3,0.15,18,0.18,0.07,32.4%,23,17,11,34,11,15376,,HFX vs ATO,true,false,false,true,false,2021-11-07,bn4uxgx4o0lxljxasb5asj8k4,dn8tjhuq0bax4dgixqvluhzze,16614,16614,HFX Wanderers,Atlético Ottawa,ATO,1,1,Played,T 1-1,2227661,HFX vs ATO (2021-11-07)
35,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,7,6,1,2,0,5,3,1,0,0,0,0,2,0,2,0,1,0,1,1,3,8,43,11,417,254,109,1.5,2,1,1.29,3,3,3,9,12,18,1,0,48,4,0,0,602,61,7,13,9,50,66.7%,20,12,47,11,2,7,2,3,7,1,1,0,0,0,0,4,0,0,0,0,4,0,0,3,0,0,0,4,2,2,0,1,0,3,1,0,0,4,0,6,13,112,291,199,20,31.9%,87.1%,138,38,187,48,159,210,65.0%,20,0.32,0,13,36,36,10,4,1.22,0.28,1.22,0.28,1.5,11,1,0.11,14,0.23,0,16.1%,10,19,19,9,19,15380,,PAC vs CAV,true,false,true,false,false,2021-07-31,bgxuf1pcl4jn23rwapgkn0cgk,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Pacific,Cavalry,CAV,2,0,Played,W 2-0,2227576,PAC vs CAV (2021-07-31)
35,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,7,6,1,3,1,6,2,2,1,1,1,0,1,0,0,0,3,1,1,0,5,4,62,33,523,240,188,2.07,1,0,1.05,2,1,5,7,12,32,1,0,60,19,1,0,763,60,5,14,12,48,70.4%,16,3,58,5,1,8,2,2,8,0,0,0,0,0,0,1,2,2,0,1,4,0,1,1,0,2,0,2,3,1,0,2,0,2,0,0,1,2,2,4,14,190,240,333,26,33.5%,81.8%,214,73,141,87,259,177,44.0%,25,1.43,1,28,26,26,16,6,0.34,1.73,0.34,1.73,1.28,12,0,0.12,17,0.36,0.33,39.4%,19,24,17,14,17,15380,,PAC vs CAV,true,false,false,false,true,2021-08-21,bi6vi0egfuafi1bpskrv715p0,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Pacific,Cavalry,CAV,1,2,Played,L 1-2,2227598,PAC vs CAV (2021-08-21)
35,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,2,2,0,2,1,10,5,1,1,0,2,0,1,0,1,1,3,1,0,0,1,7,70,16,534,218,230,1.6,1,1,0.71,2,1,4,8,12,19,1,0,48,7,0,0,730,57,2,7,8,25,45.0%,8,1,63,10,5,4,8,3,6,2,0,0,0,0,0,0,2,2,0,1,2,0,0,1,1,0,0,2,0,2,0,1,0,1,0,0,1,4,1,6,9,232,188,310,23,34.5%,83.9%,220,102,126,131,258,145,59.3%,27,1.3,1,19,13,13,8,4,0.53,1.08,0.53,1.08,0.82,11,7,0.11,15,0.32,0.23,44.4%,29,15,13,14,13,15380,,PAC vs YRK,true,false,false,false,true,2021-10-30,bkjt37wl8qtxem0vobgeg1e6s,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Pacific,York United,YRK,1,2,Played,L 1-2,2227629,PAC vs YRK (2021-10-30)
35,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,3,3,0,3,1,8,2,2,0,0,0,0,2,0,1,1,3,1,0,1,2,5,48,16,555,307,184,2.37,2,2,2.12,3,3,6,6,12,23,2,1,43,12,3,2,733,43,5,12,4,26,54.8%,5,1,47,3,2,5,3,1,3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,5,152,189,392,32,27.6%,88.5%,305,50,136,64,339,152,50.0%,14,0.84,2,23,11,11,11,4,1.24,1.13,1.24,1.13,2.37,10,1,0.16,15,0.35,0.2,48.1%,17,11,9,20,9,16614,,ATO vs HFX,true,false,true,false,false,2021-08-14,bhy7rymme4jnnk89p6awnvv2s,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Atlético Ottawa,HFX Wanderers,HFX,2,1,Played,W 2-1,2227594,ATO vs HFX (2021-08-14)
45,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,8,6,2,2,0,4,1,2,1,1,0,0,2,0,0,1,1,1,0,1,3,7,38,9,584,239,298,3.52,2,1,2.4,7,5,2,9,11,31,4,1,55,10,1,1,776,66,14,11,13,43,64.1%,5,2,47,5,0,8,5,1,6,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,2,1,1,1,1,0,0,0,0,0,2,1,6,12,201,147,428,27,26.9%,92.0%,334,103,100,111,361,112,47.1%,17,0.88,2,19,16,16,19,8,1.48,2.03,1.48,2.03,2.73,10,5,0.25,14,0.32,0.25,17.2%,12,6,4,12,4,15377,,FOR vs ATO,true,false,true,false,false,2021-08-08,bhk2rbr4tn5b8xgaxk5wage8k,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Forge,Atlético Ottawa,ATO,2,0,Played,W 2-0,2227583,FOR vs ATO (2021-08-08)
