Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
9,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,8,7,1,1,1,9,1,3,1,0,0,0,2,0,1,2,4,3,0,0,4,6,72,16,334,134,112,2.74,2,2,1.91,4,3,7,9,16,17,3,1,53,6,2,0,548,54,7,15,9,46,57.9%,14,5,59,5,3,5,6,0,5,3,0,0,1,0,1,1,4,4,0,1,2,0,0,1,2,0,0,2,1,1,0,1,0,0,0,0,0,3,4,6,9,161,153,234,30,43.4%,73.7%,135,47,64,64,174,96,58.3%,24,2.82,1,22,26,26,18,2,1.01,1.73,1.01,1.73,1.96,15,5,0.14,19,0.36,0.31,40.0%,17,15,11,15,11,15381,,CAV vs VAL,true,false,false,false,true,2021-10-30,bkgex1yrpit1sci4fcqcjdd04,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Cavalry,Valour,VAL,2,4,Played,L 2-4,2227628,CAV vs VAL (2021-10-30)
12,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,7,5,2,0,2,10,5,3,0,0,1,0,1,0,0,0,2,1,1,0,6,8,56,16,479,175,232,1.67,1,0,0.95,2,1,2,13,15,20,1,1,62,13,1,0,706,56,3,9,9,34,66.7%,12,7,49,6,3,5,3,5,7,5,0,1,1,0,0,1,1,1,0,0,4,0,2,1,0,1,0,3,3,1,1,0,0,2,2,0,0,2,2,4,15,216,142,348,31,38.0%,85.0%,259,74,74,98,291,90,57.9%,38,1.4,1,32,23,23,9,2,0.91,0.76,0.91,0.76,1.67,15,1,0.09,19,0.19,0.17,51.1%,14,18,9,16,9,6925,,ATO vs EDM,false,true,false,true,false,2021-07-19,1kwcuq4lx7ihq6f2k597o7k7o,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Edmonton,Atlético Ottawa,ATO,1,1,Played,T 1-1,2208295,ATO vs EDM (2021-07-19)
12,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,8,6,2,4,1,4,1,1,0,0,0,0,3,0,2,0,3,0,0,2,3,5,59,21,407,163,164,2.83,3,3,2.72,5,5,3,12,15,25,4,0,56,9,1,1,602,63,8,12,9,49,60.6%,20,9,61,8,2,8,2,1,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,3,1,0,3,1,3,1,2,0,1,0,0,0,2,1,4,11,161,171,270,36,35.1%,80.3%,179,61,87,80,213,114,67.7%,31,0.96,2,17,32,32,15,2,2.32,0.5,2.32,0.5,2.83,12,2,0.17,17,0.59,0.45,22.0%,18,11,15,22,15,6925,,VAL vs EDM,false,true,true,false,false,2021-09-08,bjegaiur5e010mjirpt3cpmhg,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Edmonton,Valour,VAL,3,0,Played,W 3-0,2227614,VAL vs EDM (2021-09-08)
12,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,9,7,2,5,0,7,2,3,1,1,0,0,3,0,2,0,2,1,1,2,4,8,73,16,533,180,264,3.22,3,1,1.25,3,1,2,13,15,20,2,1,41,9,0,0,717,50,8,13,8,36,55.3%,5,2,56,3,3,7,2,0,4,1,0,0,0,0,0,0,4,3,1,1,2,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,1,5,0,3,228,126,363,44,36.4%,83.3%,274,104,66,131,317,85,41.7%,12,2.89,2,32,19,19,13,4,1.84,1.38,1.84,1.38,2.43,14,1,0.15,21,0.28,0.24,43.2%,25,10,12,33,12,6925,,EDM vs ATO,true,false,false,false,true,2021-10-13,blxunc8ir42ebdeqspnlaljx0,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Edmonton,Atlético Ottawa,ATO,3,4,Played,L 3-4,2227646,EDM vs ATO (2021-10-13)
12,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,6,4,2,7,1,6,2,3,0,0,0,0,3,0,3,1,1,1,0,2,1,9,35,23,381,167,156,1.73,3,2,1.42,2,2,1,14,15,14,3,2,51,11,0,0,554,33,13,13,11,46,72.2%,9,4,46,4,1,7,1,5,5,2,0,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,3,1,2,0,3,0,2,0,0,0,3,1,2,4,145,194,215,40,35.2%,84.8%,151,66,106,83,174,124,33.3%,9,0.8,1,10,29,29,14,3,1.43,0.3,1.43,0.3,1.73,13,2,0.09,20,0.4,0.2,22.7%,9,22,18,27,18,15377,,FOR vs YRK,true,false,true,false,false,2021-08-28,bimemgbmde7ok1vmcgb00s7pw,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Forge,York United,YRK,3,1,Played,W 3-1,2227603,FOR vs YRK (2021-08-28)
12,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,8,5,3,5,2,4,2,2,0,0,0,0,1,0,1,0,0,1,0,1,3,8,57,19,422,161,185,2.01,1,1,1.82,3,3,0,15,15,40,6,2,54,20,1,1,624,61,8,11,5,34,54.3%,8,4,66,3,3,5,2,2,4,1,0,0,0,0,1,0,2,2,0,0,2,0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,3,1,4,7,200,205,219,32,39.6%,82.0%,154,73,119,95,184,143,36.8%,19,1.33,1,20,25,25,4,5,1.54,0.48,1.54,0.48,2.01,14,2,0.11,19,0.15,0.18,40.0%,20,20,16,26,16,15382,,CAV vs YRK,false,true,false,false,true,2021-10-15,bm0prur5jg0jxstj5detezhn8,41ewt71n8fqwy6trsqta1bjvu,15381,15381,York United,Cavalry,CAV,1,2,Played,L 1-2,2227648,CAV vs YRK (2021-10-15)
12,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,6,2,4,4,6,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,8,75,15,441,149,202,1.74,0,0,1.43,2,2,3,12,15,19,2,0,56,12,0,0,640,51,9,12,11,43,70.0%,9,6,52,3,2,6,3,3,7,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,3,3,0,0,2,0,1,0,0,0,1,1,0,6,234,186,220,30,37.9%,79.6%,140,98,113,124,177,140,35.7%,28,1.19,0,25,24,24,10,9,1.33,0.41,1.33,0.41,1.74,15,4,0.09,20,0.24,0.21,48.8%,20,13,5,24,5,15381,,VAL vs CAV,false,true,false,true,false,2021-10-06,blcjrbffi20vxpl5ow2lluvx0,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Cavalry,Valour,VAL,0,0,Played,T 0-0,2227639,VAL vs CAV (2021-10-06)
12,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,7,4,3,6,0,4,1,2,0,0,0,0,2,0,1,0,2,0,0,2,1,7,47,16,477,250,164,1.91,2,1,1.52,3,2,4,11,15,20,5,3,55,14,2,2,666,60,9,13,5,48,47.8%,20,4,44,4,4,8,0,6,5,5,0,0,0,0,1,0,2,2,0,0,3,0,0,2,1,0,0,3,3,0,1,0,0,1,1,0,0,3,2,2,11,142,224,300,37,29.6%,86.8%,235,56,123,71,262,144,56.3%,16,2.03,1,16,38,38,9,1,1.57,0.34,1.57,0.34,1.91,14,3,0.11,17,0.38,0.33,37.0%,9,22,17,23,17,16614,,ATO vs YRK,true,false,false,true,false,2021-09-01,bixjn30y3irivj0xir7eo7rbo,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Atlético Ottawa,York United,YRK,2,2,Played,T 2-2,2227608,ATO vs YRK (2021-09-01)
19,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,2,2,3,3,8,3,3,0,0,1,0,0,0,0,0,3,1,0,0,2,6,61,25,445,155,204,0.83,0,0,0.66,0,0,5,9,14,19,3,1,52,6,0,0,640,51,3,12,2,27,50.0%,10,4,60,4,0,7,5,1,6,0,0,0,1,0,0,0,1,1,0,0,6,0,0,4,4,0,0,6,3,3,1,1,0,2,0,0,0,0,2,4,7,177,182,281,27,39.3%,80.7%,192,68,99,86,228,131,70.4%,27,1.38,0,30,18,18,7,2,0.44,0.39,0.44,0.39,0.83,14,4,0.05,18,0.37,0.29,40.5%,21,11,16,11,16,6925,,HFX vs EDM,false,true,false,false,true,2021-09-25,bkml8n1v38rh9pon9u6g0hrmc,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Edmonton,HFX Wanderers,HFX,0,1,Played,L 0-1,2227630,HFX vs EDM (2021-09-25)
19,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,3,3,0,2,2,8,4,3,0,0,0,0,2,0,0,1,2,1,1,0,4,4,73,26,327,117,111,1.72,2,2,1.69,2,2,7,7,14,10,0,0,64,5,1,1,534,48,13,8,15,56,70.0%,19,12,56,2,4,1,3,4,5,3,0,1,0,0,0,0,3,3,0,0,3,0,0,1,0,0,1,3,3,0,1,0,1,2,0,0,1,0,3,0,9,140,211,183,21,50.5%,69.7%,102,45,81,61,141,125,59.1%,44,2.27,1,30,43,43,12,1,0.75,0.98,0.75,0.98,1.72,12,4,0.11,15,0.33,0.32,47.5%,11,27,23,4,23,6925,,EDM vs CAV,true,false,false,false,true,2021-09-30,bjuq6kkwgzyd7j8nmg17zo6j8,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,2,3,Played,L 2-3,2227620,EDM vs CAV (2021-09-30)
