Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,PassesIntoBox,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,null
1,8e8emyf0eilzcqromw4nf93h1,174707,H. Starostzik,Hendrik Starostzik,Left Centre Back,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,100486,Hendrik,Starostzik,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Centre Back,Pacific,15,1161,29,2,2,1,2,2,0,1,0,3,0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,54,39,699,503,103,0.86,1,0,0.14,1,0,1,2,3,0,0,0,48,0,0,0,849,34,2,11,25,111,68.4%,72,31,61,1,7,10,0,5,0,1,2,0,1,0,0,0,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,13,644,192,6,39.6%,86.7%,143,3,460,5,174,520,75.0%,44,0.00,1,1,96,96,15,0,0.00,0.86,0.00,0.86,0.86,3,9,0.14,6,1.00,1.00,32.8%,6.00,376,7,302,7,302,
1,79xw5l1zq2huxdmeod9t19nmd,166598,J. Escalante,José Escalante,Left Attacking Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,128665,José,Escalante,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Cavalry,24,1613,25,6,6,1,16,10,6,5,5,17,6,9,1,1,3,1,2,2,2,0,0,0,4,0,33,0,105,32,454,123,194,4.56,4,4,4.80,7,8,19,10,29,46,5,2,109,13,0,0,916,122,9,24,8,55,64.7%,9,5,84,13,4,7,10,10,26,10,8,0,0,0,0,0,12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,10,27,452,122,342,63,30.2%,69.8%,152,124,41,169,223,62,40.9%,44,0.00,2,117,29,29,19,7,3.08,1.48,3.08,1.48,3.78,25,0,0.11,43,0.31,0.27,42.2%,34.00,476,41,357,41,357,
1,ewbf6v0sbw5mtcdt7zs2vq5ed,213598,M. Eustaquio,Mauro Eustaquio,Central Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,222983,Mauro,Eustaquio,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Cavalry,10,533,28,5,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,59,27,361,161,114,0.09,0,0,0.34,0,1,1,1,2,5,0,0,43,2,0,0,454,50,5,11,11,38,55.2%,9,5,41,1,6,9,0,2,9,0,2,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,7,45,121,288,0,36.0%,76.2%,187,18,70,25,247,89,53.6%,28,0.00,0,6,18,18,14,6,0.07,0.03,0.07,0.03,0.09,2,1,0.03,3,0.17,0.25,41.1%,10.00,231,8,178,8,178,
1,4a4m18zkb35qgn6h57rhuhu51,93100,J. Marcelin,James Marcelin,Defensive Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,92432,James,Marcelin,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Edmonton,21,1698,34,3,1,0,2,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,92,62,873,467,252,0.25,0,0,0.66,0,1,2,5,7,17,0,0,91,12,0,0,1108,78,7,18,27,105,59.5%,50,26,127,2,9,13,4,7,7,1,6,0,0,0,0,0,22,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,2,15,98,484,526,16,36.0%,82.4%,379,55,285,66,456,351,66.1%,56,0.00,0,7,86,86,18,1,0.15,0.10,0.15,0.10,0.25,7,7,0.04,7,0.14,0.14,35.9%,13.00,532,20,329,20,329,
1,8v158n3stjodma3bjlj4yg639,156327,K. Moses,Kareem Moses,Right Back,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,124576,Kareem,Moses,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Edmonton,15,969,31,4,3,0,1,0,1,2,1,8,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,3,65,27,374,152,130,0.76,0,0,0.19,0,0,2,2,4,6,1,1,80,6,0,0,578,29,9,15,14,64,80.0%,26,16,48,7,2,3,2,10,8,0,2,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,1,104,218,256,18,44.7%,75.4%,158,33,91,45,206,123,71.1%,45,0.00,0,15,47,47,16,1,0.26,0.50,0.26,0.50,0.76,4,7,0.06,12,0.13,0.13,37.4%,14.00,578,19,358,19,358,
1,6r8emgp7oeom6yyibdb4g77c9,273966,D. Choinière,David Choinière,Right Attacking Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,227780,David,Choinière,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Forge,18,998,24,7,7,2,8,8,0,2,3,7,2,5,1,0,0,0,2,0,2,0,0,0,0,2,5,10,60,7,363,81,215,4.98,2,2,1.58,8,2,1,9,10,25,4,1,63,12,2,2,591,90,10,14,3,28,51.1%,1,0,84,5,3,7,7,2,18,0,3,0,0,0,0,0,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,35,301,58,232,42,27.3%,81.5%,132,136,28,173,159,31,0.0%,5,0.00,2,15,10,10,12,6,3.51,1.47,3.51,1.47,4.19,8,0,0.25,20,0.13,0.08,41.2%,35.00,537,26,358,26,358,
1,ar6i26vtb7c9tjfrlul7pp3v9,154346,J. Büscher,Julian Felix Büscher,Central Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,108975,Julian Felix,Büscher,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Cavalry,25,1768,27,4,12,1,13,3,10,2,3,14,10,2,1,0,11,1,2,3,2,0,1,0,0,5,2,24,216,35,1027,386,390,2.84,5,4,6.54,3,12,23,17,41,25,0,0,134,13,2,0,1518,166,18,43,30,109,53.0%,16,8,187,9,7,35,14,11,26,2,7,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,8,31,479,232,807,25,35.8%,75.6%,504,164,108,228,652,147,30.6%,36,0.00,2,122,44,44,49,16,0.76,2.08,0.76,2.08,2.05,37,4,0.09,32,0.30,0.21,42.8%,68.00,542,41,388,41,388,
1,79pboh9mzuchik3r2027wntgp,486316,A. Didic,Amer Didic,Right Centre Back,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,233807,Amer,Didic,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,Edmonton,19,1650,26,0,1,0,10,8,2,1,1,11,0,1,0,0,1,0,0,0,0,0,10,6,0,0,3,2,103,64,923,551,205,1.82,0,3,2.02,2,2,14,2,16,5,1,0,105,3,0,0,1171,47,9,20,25,163,82.9%,109,51,92,5,7,9,0,2,1,2,4,0,0,0,0,0,25,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,2,1,67,732,372,48,38.6%,81.9%,289,18,449,40,349,534,75.5%,94,0.00,0,2,149,149,14,0,0.29,1.53,0.29,1.53,1.82,13,18,0.08,23,0.50,0.50,37.9%,3.00,445,33,277,33,277,
1,2zedqkn15thv6wx5xmgv48gd1,195042,K. Bekker,Kyle Edward Bekker,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,140123,Kyle Edward,Bekker,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,28,2443,30,1,2,3,18,5,13,5,14,27,17,7,1,0,9,1,3,1,3,0,1,0,3,1,13,31,199,54,1388,440,695,5.83,4,5,5.29,7,10,11,33,44,25,2,1,62,11,4,1,1783,115,8,16,18,62,49.0%,20,11,162,9,4,16,2,2,7,4,12,0,0,0,0,0,24,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,4,25,590,222,971,39,28.5%,81.8%,721,296,118,364,862,162,40.5%,42,0.00,2,99,36,36,15,11,3.89,1.94,3.89,1.94,5.04,39,2,0.09,64,0.16,0.13,41.1%,61.00,571,67,381,67,381,
1,b4fisyd57o49077v5nwv9ex91,140263,T. Tchani,Tony Tchani,Central Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,82516,Tony,Tchani,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Edmonton,5,192,31,3,1,0,2,1,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,6,142,46,65,0.45,0,0,0.05,1,0,0,1,1,11,0,0,23,10,0,0,185,16,1,2,3,11,60.0%,4,2,23,0,2,6,0,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,38,31,116,3,31.7%,78.2%,82,16,13,22,103,17,88.9%,9,0.00,0,2,7,7,4,0,0.37,0.08,0.37,0.08,0.45,1,1,0.07,6,0.00,0.00,41.7%,11.00,104,2,64,2,64,
