Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,PassesIntoBox,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,null
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,11,752,22,3,6,0,3,2,1,0,2,8,3,5,2,2,1,0,2,0,0,0,0,0,0,2,3,8,60,17,336,97,162,2.50,2,2,1.93,3,3,3,9,12,20,2,1,44,13,1,0,449,43,4,4,6,19,40.0%,4,4,49,3,3,8,6,7,8,1,4,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,6,165,83,201,18,39.6%,77.1%,134,84,41,111,167,58,33.3%,9,0.00,2,9,9,9,7,3,0.81,1.69,0.81,1.69,0.92,10,1,0.19,13,0.11,0.00,36.7%,16.00,211,31,154,31,154,
1,am6blpv9h0wzsn8rjv1q0zpp1,195876,A. Díaz,Alejandro Díaz Liceága,Centre Forward,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,173493,Alejandro,Díaz Liceága,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Pacific,10,609,25,3,4,2,8,8,0,5,1,5,0,4,0,0,0,0,3,0,3,0,3,2,1,2,3,5,44,7,171,40,80,2.98,3,2,1.79,5,3,0,7,7,12,0,0,23,6,0,0,259,24,2,0,4,7,66.7%,1,1,19,1,0,3,1,0,4,3,2,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,7,124,12,123,25,30.4%,70.2%,68,48,4,69,94,8,52.6%,19,0.00,3,8,2,2,4,1,2.39,0.59,2.39,0.59,2.98,5,0,0.16,19,0.25,0.25,40.4%,8.00,200,9,158,9,158,
1,7pb4kdsbaj2dfwo99st2v7g7p,78971,A. Bouka,Arnold Bouka Moutou,Left Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,44082,Arnold,Bouka Moutou,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Valour,2,70,32,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,17,3,6,0.00,0,0,0.00,0,0,0,0,0,2,0,0,5,0,0,0,34,6,1,1,1,3,100.0%,0,0,4,0,1,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,19,9,0,82.4%,52.9%,4,1,4,1,6,10,33.3%,3,0.00,0,2,3,3,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-,0,0.00,0.00,36.6%,0.00,42,1,23,1,23,
1,1mg5xen2me6dsqu3b0lktvnbp,92004,M. Haber,Marcus Haber,Centre Forward,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,81402,Marcus,Haber,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Cavalry,9,507,32,4,4,2,8,8,0,0,0,6,0,2,0,0,0,0,2,0,1,1,5,4,0,1,0,5,46,4,125,20,55,3.38,2,0,0.48,8,0,0,5,5,4,0,0,48,1,0,0,200,54,1,0,0,4,50.0%,3,2,10,15,0,2,6,1,3,2,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,9,114,11,75,35,33.6%,60.0%,38,36,1,64,57,4,55.1%,69,0.00,2,14,3,3,1,0,1.82,1.56,1.82,1.56,3.38,5,2,0.24,14,0.07,0.07,45.6%,7.00,167,14,110,14,110,
1,4ezd4d37kbb1249qd7bvi0dzp,294422,J. Dixon,Jamar Dixon,Central Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,208512,Jamar,Dixon,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Pacific,9,616,31,1,5,0,2,1,1,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2,31,8,189,60,90,1.38,1,0,0.24,2,0,0,5,5,9,1,1,34,6,0,0,266,33,10,9,4,32,86.4%,9,4,28,3,5,9,1,0,4,0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,7,57,44,165,7,32.3%,79.4%,105,32,13,39,128,22,44.4%,9,0.00,1,0,16,16,12,4,0.52,0.86,0.52,0.86,1.38,5,0,0.28,5,-,-,40.4%,14.00,200,10,158,10,158,
1,7t6lyj5pvvgzfscj775acuqc5,233123,M. Bustos,Marco Bustos,Right Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,173165,Marco,Bustos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Pacific,10,849,24,0,5,1,11,10,1,5,2,8,3,3,0,0,0,0,5,0,5,1,2,2,3,1,13,2,39,11,334,97,187,2.68,5,3,2.20,4,4,4,12,16,31,5,2,60,18,2,1,528,46,0,2,4,7,22.2%,1,1,53,4,3,6,8,4,23,2,2,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,4,12,250,41,237,43,25.7%,85.0%,153,112,19,132,172,30,66.7%,9,0.00,4,30,4,4,1,2,2.43,0.25,2.43,0.25,2.68,13,0,0.10,26,0.23,0.32,40.4%,29.00,200,24,158,24,158,
1,apavbqkzwn6ik22hi8d8mo1qt,227291,M. Tissot,Maxim Tissot,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,153578,Maxim,Tissot,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,11,394,28,8,3,0,3,1,2,0,4,2,2,0,0,0,3,1,0,1,0,0,0,1,1,0,4,0,31,14,179,64,70,0.90,1,2,2.46,1,5,5,4,9,6,0,0,16,2,0,0,271,27,1,5,4,16,60.0%,6,1,20,0,0,4,1,1,2,1,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,7,88,63,120,10,34.6%,74.9%,76,35,23,44,94,41,30.8%,13,0.00,0,23,10,10,6,0,0.03,0.86,0.03,0.86,0.90,7,2,0.10,9,0.35,0.38,36.7%,7.00,211,9,154,9,154,
1,b84lif9t7gwlw9ou9izawvumt,33727,D. Edgar,David Edward Edgar,Right Centre Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,40345,David Edward,Edgar,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,Forge,10,900,33,0,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,59,33,487,263,132,0.95,0,0,0.27,2,1,0,2,2,3,0,0,32,3,0,0,597,20,3,5,14,77,80.0%,53,29,41,3,2,7,0,3,0,0,5,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,15,363,219,6,48.9%,81.1%,174,4,217,6,212,269,72.0%,25,0.00,0,0,75,75,2,0,0.36,0.58,0.36,0.58,0.95,2,8,0.19,5,-,-,36.7%,1.00,211,11,154,11,154,
1,ckozved8umsj42boq3tte1byt,52281,M. de Jong,Marcel de Jong,Left Back,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,39226,Marcel,de Jong,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Pacific,7,442,34,1,4,0,2,1,1,1,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,49,21,257,86,101,0.27,0,0,0.73,0,1,2,7,9,9,1,1,23,4,0,0,410,11,0,9,10,35,90.0%,14,8,22,0,2,1,1,3,0,0,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,97,133,180,6,59.9%,72.8%,115,21,51,24,144,89,75.0%,8,0.00,0,24,23,23,10,2,0.17,0.10,0.17,0.10,0.27,9,3,0.04,7,0.21,0.21,40.4%,5.00,200,8,158,8,158,
1,cseaof8mo75i2fufyg0b4bpat,179163,F. Aird,Fraser Aird,Right Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,133078,Fraser,Aird,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Valour,6,453,26,0,4,1,7,4,3,1,1,2,2,0,1,1,2,0,1,0,0,0,0,1,0,1,0,8,30,10,163,34,89,1.15,1,0,0.71,1,1,2,6,8,5,0,0,10,1,1,1,260,22,0,2,0,8,40.0%,5,2,22,3,1,6,2,0,3,0,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,3,126,41,93,7,31.9%,75.5%,58,51,14,64,74,25,40.0%,5,0.00,1,25,8,8,0,0,0.19,0.96,0.19,0.96,0.36,8,1,0.10,11,0.20,0.21,34.3%,6.00,139,12,106,12,106,
